Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,0,65.0,8450,0,,0,0,0,0,0,0,0,0,0,0,7,5,2003,2003,0,0,0,0,0.0,196.0,0,0,0,0.0,0.0,0.0,0.0,706,0.0,0,150,856,0,0,0,0.0,856,854,0,1710,1,0,2,1,3,1,0,8,0,0,,0.0,0.0,0.0,2,548,0.0,0.0,0,0,61,0,0,0,0,,,,0,2,0,0,0,208500
2,20,0,80.0,9600,0,,0,0,0,1,0,1,1,0,0,1,6,8,1976,1976,0,0,1,1,1.0,0.0,1,0,1,0.0,0.0,1.0,1.0,978,0.0,0,284,1262,0,0,0,0.0,1262,0,0,1262,0,1,2,0,3,1,1,6,0,1,0.0,0.0,1.0,0.0,2,460,0.0,0.0,0,298,0,0,0,0,0,,,,0,5,1,0,0,181500
3,60,0,68.0,11250,0,,1,0,0,0,0,0,0,0,0,0,7,5,2001,2002,0,0,0,0,0.0,162.0,0,0,0,0.0,0.0,2.0,0.0,486,0.0,0,434,920,0,0,0,0.0,920,866,0,1786,1,0,2,1,3,1,0,6,0,1,0.0,0.0,2.0,0.0,2,608,0.0,0.0,0,0,42,0,0,0,0,,,,0,9,0,0,0,223500
4,70,0,60.0,9550,0,,1,0,0,2,0,2,0,0,0,0,7,5,1915,1970,0,0,2,2,1.0,0.0,1,0,2,1.0,1.0,0.0,1.0,216,0.0,0,540,756,0,1,0,0.0,961,756,0,1717,1,0,1,0,3,1,0,7,0,1,1.0,1.0,3.0,1.0,3,642,0.0,0.0,0,0,35,272,0,0,0,,,,0,2,2,0,1,140000
5,60,0,84.0,14260,0,,1,0,0,1,0,3,0,0,0,0,8,5,2000,2000,0,0,0,0,0.0,350.0,0,0,0,0.0,0.0,3.0,0.0,655,0.0,0,490,1145,0,0,0,0.0,1145,1053,0,2198,1,0,2,1,4,1,0,9,0,1,0.0,0.0,4.0,0.0,3,836,0.0,0.0,0,192,84,0,0,0,0,,,,0,12,0,0,0,250000
6,50,0,85.0,14115,0,,1,0,0,0,0,4,0,0,0,2,5,5,1993,1995,0,0,0,0,1.0,0.0,1,0,3,0.0,0.0,0.0,0.0,732,0.0,0,64,796,0,0,0,0.0,796,566,0,1362,1,0,1,1,1,1,1,5,0,0,,0.0,5.0,1.0,2,480,0.0,0.0,0,40,30,0,320,0,0,,0.0,0.0,700,10,3,0,0,143000
7,20,0,75.0,10084,0,,0,0,0,0,0,5,0,0,0,1,8,5,2004,2005,0,0,0,0,2.0,186.0,0,0,0,2.0,0.0,3.0,0.0,1369,0.0,0,317,1686,0,0,0,0.0,1694,0,0,1694,1,0,2,0,3,1,0,7,0,1,1.0,0.0,6.0,0.0,2,636,0.0,0.0,0,255,57,0,0,0,0,,,,0,8,1,0,0,307000
8,60,0,,10382,0,,1,0,0,2,0,6,2,0,0,0,7,6,1973,1973,0,0,3,3,2.0,240.0,1,0,1,0.0,0.0,2.0,1.0,859,1.0,1,216,1107,0,0,0,0.0,1107,983,0,2090,1,0,2,1,3,1,1,7,0,2,0.0,0.0,7.0,0.0,2,484,0.0,0.0,0,235,204,228,0,0,0,,,0.0,350,11,3,0,0,200000
9,50,1,51.0,6120,0,,0,0,0,0,0,7,3,0,0,2,7,5,1931,1950,0,0,4,2,1.0,0.0,1,0,2,1.0,0.0,0.0,2.0,0,0.0,0,952,952,0,1,0,1.0,1022,752,0,1774,0,0,2,0,2,2,1,8,1,2,0.0,1.0,8.0,1.0,2,468,1.0,0.0,0,90,0,205,0,0,0,,,,0,4,0,0,1,129900
10,190,0,50.0,7420,0,,0,0,0,2,0,8,3,1,1,3,5,6,1939,1950,0,0,1,1,1.0,0.0,1,0,2,1.0,0.0,0.0,0.0,851,0.0,0,140,991,0,0,0,0.0,1077,0,0,1077,1,0,1,0,2,2,1,5,0,2,0.0,0.0,9.0,0.0,1,205,2.0,0.0,0,0,4,0,0,0,0,,,,0,1,0,0,0,118000
11,20,0,70.0,11200,0,,0,0,0,0,0,9,0,0,0,1,5,5,1965,1965,1,0,3,3,1.0,0.0,1,0,1,1.0,0.0,0.0,3.0,906,0.0,0,134,1040,0,0,0,0.0,1040,0,0,1040,1,0,1,0,3,1,1,5,0,0,,1.0,10.0,1.0,1,384,0.0,0.0,0,0,0,0,0,0,0,,,,0,2,0,0,0,129500
12,60,0,85.0,11924,0,,1,0,0,0,0,10,0,0,0,0,9,5,2005,2006,1,0,5,2,2.0,286.0,2,0,0,2.0,0.0,0.0,0.0,998,0.0,0,177,1175,0,0,0,0.0,1182,1142,0,2324,1,0,3,0,4,1,2,11,0,2,1.0,2.0,11.0,2.0,3,736,0.0,0.0,0,147,21,0,0,0,0,,,,0,7,2,1,2,345000
13,20,0,,12968,0,,2,0,0,0,0,9,0,0,0,1,5,6,1962,1962,1,0,3,4,1.0,0.0,1,0,1,1.0,0.0,0.0,1.0,737,0.0,0,175,912,0,2,0,0.0,912,0,0,912,1,0,1,0,2,1,1,4,0,0,,1.0,12.0,1.0,1,352,0.0,0.0,0,140,0,0,0,176,0,,,,0,9,0,0,0,144000
14,20,0,91.0,10652,0,,1,0,0,0,0,0,0,0,0,1,7,5,2006,2007,0,0,0,0,2.0,306.0,0,0,0,0.0,0.0,3.0,2.0,0,0.0,0,1494,1494,0,0,0,0.0,1494,0,0,1494,0,0,2,0,3,1,0,7,0,1,1.0,0.0,13.0,0.0,3,840,0.0,0.0,0,160,33,0,0,0,0,,,,0,8,1,1,2,279500
15,20,0,,10920,0,,1,0,0,2,0,11,0,0,0,1,6,5,1960,1960,1,0,1,1,0.0,212.0,1,0,1,1.0,0.0,0.0,4.0,733,0.0,0,520,1253,0,2,0,0.0,1253,0,0,1253,1,0,1,1,2,1,1,5,0,1,2.0,0.0,14.0,0.0,1,352,0.0,0.0,0,0,213,176,0,0,0,,1.0,,0,5,0,0,0,157000
16,45,1,51.0,6120,0,,0,0,0,2,0,8,0,0,0,3,7,8,1929,2001,0,0,2,5,1.0,0.0,1,0,2,1.0,0.0,0.0,2.0,0,0.0,0,832,832,0,0,0,2.0,854,0,0,854,0,0,1,0,2,1,1,5,0,0,,1.0,15.0,1.0,2,576,0.0,0.0,0,48,112,0,0,0,0,,2.0,,0,7,1,0,0,132000
17,20,0,,11241,0,,1,0,0,3,0,11,0,0,0,1,6,7,1970,1970,0,0,2,5,0.0,180.0,1,0,1,1.0,0.0,0.0,1.0,578,0.0,0,426,1004,0,0,0,0.0,1004,0,0,1004,1,0,1,0,2,1,1,5,0,1,0.0,0.0,16.0,2.0,2,480,0.0,0.0,0,0,0,0,0,0,0,,,0.0,700,3,4,0,0,149000
18,90,0,72.0,10791,0,,0,0,0,0,0,9,0,0,2,1,4,5,1967,1967,0,0,1,1,1.0,0.0,1,0,4,,,,,0,,0,0,0,0,2,0,0.0,1296,0,0,1296,0,0,2,0,2,2,1,6,0,0,,3.0,17.0,1.0,2,516,0.0,0.0,0,0,0,0,0,0,0,,,0.0,500,10,2,0,0,90000
19,20,0,66.0,13695,0,,0,0,0,0,0,12,4,0,0,1,5,5,2004,2004,0,0,0,0,1.0,0.0,1,0,0,1.0,0.0,0.0,0.0,646,0.0,0,468,1114,0,0,0,0.0,1114,0,0,1114,1,0,1,1,3,1,0,6,0,0,,1.0,6.0,1.0,2,576,0.0,0.0,0,0,102,0,0,0,0,,,,0,6,0,0,0,159000
20,20,0,70.0,7560,0,,0,0,0,0,0,11,0,0,0,1,5,6,1958,1965,1,0,4,4,1.0,0.0,1,0,1,1.0,0.0,0.0,5.0,504,0.0,0,525,1029,0,2,0,0.0,1339,0,0,1339,0,0,1,0,3,1,1,6,1,0,,0.0,18.0,1.0,1,294,0.0,0.0,0,0,0,0,0,0,0,,0.0,,0,5,3,2,1,139000
21,60,0,101.0,14215,0,,1,0,0,2,0,10,0,0,0,0,8,5,2005,2006,0,0,0,0,0.0,380.0,0,0,0,2.0,0.0,3.0,2.0,0,0.0,0,1158,1158,0,0,0,0.0,1158,1218,0,2376,0,0,3,1,4,1,0,9,0,1,1.0,2.0,11.0,0.0,3,853,0.0,0.0,0,240,154,0,0,0,0,,,,0,11,2,1,2,325300
22,45,1,57.0,7449,0,0.0,0,1,0,0,0,13,0,0,0,3,7,7,1930,1950,0,0,2,5,1.0,0.0,1,0,0,1.0,0.0,0.0,2.0,0,0.0,0,637,637,0,0,0,1.0,1108,0,0,1108,0,0,1,0,3,1,0,6,0,1,1.0,0.0,19.0,1.0,1,280,0.0,0.0,1,0,0,205,0,0,0,,2.0,,0,6,1,0,0,139400
